카드명,설명,혜택1,혜택2,혜택3,세부혜택,교통,뷰티,영화,카페,쇼핑,편의점,배달,야구,도서,놀이공원/공연,ott,통신,합계,Cluster
신한카드 FANtastic S 체크,국내/해외 판타스틱한 혜택에 신한플레이 캐시백까지!,간편결제 15% 캐시백,쿠팡/티몬/CU/스벅 10% 캐시백,해외 이용액 1.2% 캐시백,간편결제 캐시백 소셜커머스 캐시백 편의점 캐시백 커피 캐시백 해외이용 캐시백 금리우대 서비스 통합 캐시백한도 Platinum ,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2
신한카드 Deep Dream 체크,속 깊은 디지털 라이프!,전월실적/한도없이 포인트 적립,주유 적립 택시 할인,신한 금융그룹 서비스 수수료 우대,모두드림 더해드림 챙겨드림 DREAM 영역 아껴드림 통합적립한도 신한금융그룹 서비스 점자카드 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
신한카드 Deep Dream 체크(미니언즈),미니언즈가 다 드림!,국내 전가맹점 0.2% 적립,Dream 영역 최대 1% 적립,반겨드림 3천 포인트 적립,모두드림 더해드림 챙겨드림 DREAM 영역 아껴드림 통합적립한도 신한금융그룹 서비스 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
신한카드 S-Line 체크(미니언즈),할인+적립+신한금융 서비스까지 한 번에!,리워드 최대 0.5% 적립,요식 업종 5% 할인,대중교통 or 주유 할인,리워드 요식 할인 대중교통 할인 홈쇼핑 할인 해외이용 할인 금융우대 서비스 통합할인한도 카드디자인 ,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
카카오페이 신한 체크카드,카카오페이로 간편하게 결제하고 혜택까지 플러스,카카오페이 결제 2% 적립,대중교통 3% 적립,이동통신요금 3% 적립,카카오페이 적립 대중교통 적립 이동통신요금 적립 영화 적립 해외 적립 적립 유의사항 Platinum ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3
신한카드 S-Line 체크(마이펫),할인+적립+신한금융 서비스까지 한 번에!,리워드 최대 0.5% 적립,요식 업종 5% 할인,대중교통 or 주유 할인,리워드 요식 할인 대중교통 할인 홈쇼핑 할인 해외이용 할인 금융우대 서비스 통합할인한도 ,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
신한카드 S-Line 체크,0,리워드 최대 0.5% 적립,요식 업종 5% 할인,대중교통 or 주유 할인,리워드 요식 할인 대중교통 할인 홈쇼핑 할인 해외이용 할인 금융우대 서비스 통합할인한도 ,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
신한카드 S-Choice(선택형) 체크,"복잡한 혜택의 서비스는 그만! 대중교통,커피,쇼핑 중 내가 원하는 하나의 서비스에 ALL-in",대중교통 10% 할인,커피전문점 20% 할인,전국 주요 백화점 10% 할인,선택형 할인 신한은행 금융서비스 VISA 서비스 통합할인한도 ,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3
(배민커넥트) 신한카드 S-Line 체크,할인+적립+신한금융 서비스까지 한 번에!,리워드 최대 0.5% 적립,요식 업종 5% 할인,대중교통 or 주유 할인,리워드 요식 할인 대중교통 할인 홈쇼핑 할인 해외이용 할인 금융우대 서비스 통합할인한도 ,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3
EDIYA 신한카드 체크,"커피매니아를 위한 카드, EDIYA 신한카드 체크",EDIYA 30% 할인,EDIYA 커피할인 월 5회까지 제공,없음,EDIYA 할인 통합할인한도 ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6
11번가 신한카드 체크,"쉽고 편한 모바일 쇼핑, 세상 편한 SK pay 결제!",기본적립 0.1% 적립,특별적립 0.5% 적립,없음,기본적립 특별적립 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
위메프페이 신한카드 체크,전월실적 조건 없이 어디서든 적립되는 온라인 쇼핑,위메프 포인트 기본 0.1% 적립,위메프 포인트 특별 0.5% 적립,없음,기본적립 특별적립 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6
요기요 신한카드 체크,요기요 구매금액 15% 할인 커피/편의점 할인까지,요기요 15% 할인,이디야 10% 할인,CU 10% 할인,요기요 할인 이디야 할인 CU 할인 통합할인한도 ,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2
네이버페이 신한카드 체크,이제 오프라인에서도 네이버페이로~,네이버페이 포인트 1% 적립,이용실적 조건 및 이용횟수 한도없음,없음,포인트 적립 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
